chr,start,end,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
chr1,20621957,21209624,-0.671800618198464,-0.271105431620562,-0.00113925114153135,0.486016900180926,-0.986271796458396,-0.369608019003216,0.480407503515668,0.379621831890626,0.158064890139144,0.108149559900196
chr1,42967726,53028972,-0.147400427400537,0.386625614058436,1.33237305623552,0.181654925355514,0.160027690392892,-0.13166788181563,0.233851913431589,-0.0888752925632234,-0.918176368261254,0.396800440965777
chr1,58915991,65942365,-0.214273339366097,-0.0586205225499199,-0.33187673185315,0.65447897421945,-0.402387952101877,-0.952931029841343,-0.0460755619997624,0.448723711487375,-0.614739758939187,-0.0697324403614744
chr1,67474486,70468059,-0.314037019229111,-0.670134603068103,0.239651477299582,-0.221345836853622,0.582296113505351,-0.53640352635944,-0.437509418693644,0.152537469116272,-0.140456509097449,0.242007364947179
chr1,70834716,93392812,0.371744842400809,-0.812017291456245,0.129078761528658,0.086885114605866,-1.30664219122693,0.845707331575508,-1.06150659815649,-0.652766677857242,0.345170878852616,0.314874264774893
chr1,98646692,105744994,-0.436918480724907,0.244559220379888,-0.422474337614715,0.27270114427764,-0.374214540203063,-0.522490568933228,-0.147235272314998,0.924254084458877,0.057359233780352,0.482645058519229
chr1,110109858,113819044,-0.264164256466778,-0.466494436728612,0.308954491632721,0.0570628439786687,-0.118468954635175,0.828991427169526,0.709322877152764,-0.537310600513576,-0.625337638452291,-0.126282398152573
chr1,115732306,128645989,0.267029560579389,0.44399307786522,-0.629253145452188,-0.379646358977838,0.295551579507487,-0.495911139645599,0.424533114536439,-0.43139602114661,-0.575876048112297,0.00616103499287492
chr1,159485418,165705329,0.117389514041188,-0.205784885355113,0.44520192508199,0.373790513940513,0.621347652205121,0.0383752370319358,1.03735793018302,0.562356865219893,-0.636225723180934,0.424039308881031
chr1,170639925,207158920,-0.662490472797206,0.817241734212991,0.119861175714754,-1.2311993789428,-0.749930500038288,0.302209083097853,0.287194612285804,0.058457278981551,0.434225759067287,0.547302834862775
chr1,211177522,221180815,0.354314427743852,-0.324343514886033,0.0855122619983732,0.514319079751555,0.394653192958415,0.494301303573851,-0.0892228880267324,0.00321856705521218,-0.655133850627135,-0.559686637377357
chr2,1946862,9867764,0.809311012538906,0.200484739738474,0.273602208309941,-0.162488977617468,1.40372525091767,-0.0595064042170932,-0.257556894428838,0.278256522622954,-0.125671647006242,-0.763069771300576
chr2,16793624,32362421,0.110866223860066,0.444901561426525,0.00979228465015656,0.389409141377766,-0.287916965373851,-0.226762399332202,0.632099886943424,-0.460778895656633,0.0912612483479865,0.546104282800425
chr2,35793985,56362663,1.29213260266374,0.123812568822756,0.966513913766772,0.526888717379446,-0.182854229371153,-0.151224762304894,0.426824081246544,-0.443659379038578,-1.5061302291556,-0.237943388573013
chr2,57100510,62934372,-1.27010186003901,-0.553296308529999,-0.533726927565967,0.891844974608019,0.722881322247869,-0.418057459133147,0.178207243908384,-0.539625661621235,0.477590749727633,-0.536755478446758
chr2,75607671,76708807,0.170705350277487,-0.267429043349187,-0.259468628843108,-0.720199912632304,-0.201379121189527,0.548365951596428,0.057168597476913,-0.0417491817381095,-0.187816930553474,-0.957722314187827
