chr,start,end,value1,value2
chr1,294540,4666160,-0.66,-0.596
chr1,17589118,18065224,-0.138,-0.747
chr1,21280287,21380873,0.217,-0.419
chr1,22377472,23659781,0.173,0.702
chr1,24230431,27625133,0.304,0.276
chr1,27864815,46726601,0.305,0.233
chr1,48943346,54205741,0.963,0.373
chr1,62394861,65087057,-0.764,0.096
chr1,71127671,71381996,0.529,0.387
chr1,72943789,75295015,0.388,0.319
chr1,78607284,82624691,0.287,-0.199
chr1,90249294,92761976,0.571,0.168
chr1,93701829,96256401,0.156,0.568
chr1,98670249,101272619,0.046,0.248
chr1,102476497,139801964,0.015,0.338
chr1,161526150,162479071,0.013,0.012
chr1,164972996,172931154,-0.442,-0.001
chr1,175606539,182772058,-0.108,-0.07
chr1,186734686,188533149,-0.338,0.024
chr1,197300445,198674454,-0.281,-1.079
chr1,218165418,221355464,0.115,0.033
chr1,221989484,223329584,0.767,-0.733
chr1,224105655,227211031,-0.185,-0.731
chr1,228999159,239300293,-0.772,0.365
chr2,6872874,16224260,-0.77,-0.403
chr2,24936258,28070400,0.716,0.22
chr2,32237563,33394969,-0.174,0.393
chr2,40469984,48439286,-0.278,-0.547
chr2,49914026,52206244,0.381,-1.039
chr2,65197159,88759872,0.028,-0.601
chr2,94059710,102225479,-0.308,0.71
chr2,103300716,106307882,-0.116,0.009
chr2,113561371,117522853,-0.414,-0.473
chr2,130503673,130753241,0.321,0.535
chr2,134693930,140836398,0.617,-0.258
chr2,146461967,151944832,-0.045,1.188
chr2,152192843,154457593,0.455,-0.457
chr2,155998269,156436389,-0.025,-0.243
chr2,163650549,165547654,0.019,0.383
chr2,174594806,180316641,1.168,-0.45
chr2,180517126,180651835,-0.185,-0.004
chr2,190664931,192941661,0.144,1.124
chr2,193323179,197085830,0.219,0.19
chr2,200801979,215012278,0.402,-0.387
chr2,216331220,230940839,-0.25,-0.182
chr2,233598145,235903980,0.791,0.886
chr2,238732147,240765489,-0.122,0.185
chr2,241037802,241189900,0.136,0.84
chr3,503979,24719267,0.217,-0.459
chr3,24979219,43289811,0.226,-0.185
chr3,46134282,48518642,-0.716,0.079
chr3,66803673,71018481,-0.049,0.258
chr3,71582919,72642636,0.024,-0.667
chr3,75272279,75647455,0.059,-0.274
chr3,89239140,92434300,-0.436,-0.452
chr3,94087935,96366668,0.46,0.821
chr3,97798144,111571941,-0.247,-0.445
chr3,120981005,129080639,-1.111,-0.058
chr3,137447770,137960878,0.896,-0.142
chr3,138094517,140128431,0.682,0.66
chr3,149898402,150812567,0.707,0.785
chr3,155362983,156373017,0.618,-0.552
chr3,160635086,167111054,0.28,-0.282
chr3,168059931,172282940,-0.157,-0.417
chr3,178439779,182789065,0.424,-1.044
chr3,186144036,189525420,0.077,0.495
chr3,194883888,194900717,0.449,0.386
chr4,859776,2929166,0.738,0.602
chr4,5923032,9091660,-0.2,-0.384
chr4,9458893,11301543,-0.357,0.892
chr4,14868141,14952211,-0.414,-0.248
chr4,18439513,29789215,1.07,0.318
chr4,34323673,47419997,0.026,-0.453
chr4,60590533,62472078,0.371,-0.277
