chr,start,end,value1
chr1,1465,5857186,b
chr1,6005405,7051583,c
chr1,7459754,11390112,h
chr1,11461667,11666810,h
chr1,11735789,13740274,a
chr1,13741155,17190699,h
chr1,17636177,23479534,e
chr1,24394466,30454885,a
chr1,31765677,36050094,e
chr1,36051556,50189335,h
chr1,50192310,64730203,b
chr1,64315037,70743879,g
chr1,71531571,78851045,d
chr1,78868899,85642286,f
chr1,85659982,93150139,d
chr1,93151177,102158018,h
chr1,103875958,106380147,d
chr1,111641069,111801376,f
chr1,112723797,113286724,e
chr1,118530002,119737046,b
chr1,119825958,133304507,f
chr1,133316714,160176346,h
chr1,160217706,170385697,f
chr1,170687925,175991656,c
chr1,177652707,178009234,b
chr1,178122796,187942731,b
chr1,187959181,193321748,c
chr1,194634579,197022817,a
chr1,198778345,201389972,a
chr1,202187044,202718077,c
chr1,202720120,223314825,c
chr1,223498720,228677287,a
chr1,228793513,237373614,b
chr1,238526388,241165068,b
chr1,241281409,248838956,c
chr2,575,1026652,e
chr2,1118627,4074671,h
chr2,4121264,5775800,d
chr2,5883646,6188515,f
chr2,6236835,7737452,f
chr2,7809564,8437225,d
chr2,8438815,16764793,g
chr2,16770851,25657129,e
chr2,35661687,46518474,d
chr2,47176753,47779373,h
chr2,48581813,56906187,d
chr2,57448847,60043136,h
chr2,61853834,62305213,e
chr2,63002878,67975779,e
chr2,67982988,81153143,e
chr2,83322672,83988222,h
chr2,84013475,88609453,h
chr2,89647671,90716925,e
chr2,91231357,92035753,a
chr2,92935334,95852998,g
chr2,96031734,108343096,c
chr2,108451987,114014187,h
chr2,114220194,119963393,g
chr2,123135627,123812402,d
chr2,124135706,127239645,c
chr2,127739947,132426112,f
chr2,132430773,141021042,c
chr2,142245109,144069288,a
chr2,144628039,144720573,f
chr2,151610987,151992479,a
chr2,152009841,174218242,b
chr2,176444373,176671890,d
chr2,177092656,181330814,g
chr2,181345542,201358151,f
chr2,201438325,212939406,a
chr2,214881585,215755342,e
chr2,215836645,217859263,d
chr2,217916747,226165487,e
chr2,227439036,227770831,a
chr2,227964567,231562984,a
chr2,233303405,234499443,e
chr2,235622983,236785366,c
chr2,236798242,242648653,a
chr3,13,3831804,d
chr3,3989861,11612588,g
chr3,13006291,15943115,b
chr3,16822175,16851578,f
chr3,17306778,19320312,g
chr3,19827014,24143285,d
chr3,24206611,35803756,d
chr3,38232660,40730880,e
chr3,40746418,47490925,d
chr3,47505229,51750387,a
chr3,51826821,56189222,e
chr3,57422961,62317947,h
chr3,62321260,83845357,d
chr3,84405975,86572536,b
chr3,90374730,90454970,g
chr3,90462646,109633225,g
chr3,114528724,114604580,g
chr3,114789891,123322478,f
chr3,123427162,140552765,b
chr3,142258502,146828589,b
chr3,146929004,167366311,e
chr3,168158332,168866882,b
chr3,169049832,169096114,e
chr3,169108840,176935416,h
chr3,178201491,195369841,e
chr4,911,11542798,h
chr4,16991464,18165367,a
chr4,18211626,23846844,e
chr4,24035221,26604567,a
chr4,27566444,27992469,d
chr4,28276499,41116799,g
chr4,41529824,43014993,c
chr4,43272948,47064915,f
chr4,48177980,54551721,c
chr4,54660128,68783343,d
chr4,70252023,70334888,d
chr4,70344540,73084563,f
chr4,75153397,75500954,f
chr4,79285027,81539201,d
chr4,81736144,83319610,f
chr4,83655766,87725054,b
chr4,87726095,105142804,a
chr4,106538792,108371238,c
chr4,109025769,121125427,g
chr4,121134744,124367355,g
chr4,125045578,148133284,b
chr4,148729892,154268083,g
chr4,154319943,159258050,b
chr4,159336210,174306749,d
chr4,174964320,176275294,e
chr4,176366743,182959925,c
chr4,183372421,190408082,e
chr5,56,2698252,h
chr5,2719598,9370038,c
chr5,9384790,15241474,e
chr5,16796720,17016816,g
chr5,17197132,18226184,g
chr5,19595607,21480489,a
chr5,21774271,27644915,f
chr5,27645010,35297088,b
chr5,35388251,45815761,a
chr5,47919368,50681938,b
chr5,51031281,74321209,c
chr5,75015046,76875383,d
chr5,77310439,84485426,e
chr5,84823359,84840854,g
chr5,89131406,94601777,f
chr5,94719081,102430350,h
chr5,102656020,103137863,h
chr5,104538359,116718534,d
chr5,116724213,134095796,d
chr5,135319451,141939419,c
chr5,142007020,150001379,d
chr5,153406265,155719357,e
chr5,155895554,158225360,c
chr5,159563350,161532690,g
chr5,161667894,171190500,b
chr5,172472102,178600652,f
chr6,6060,3270154,b
chr6,3352084,7019286,b
chr6,7193581,7467823,f
chr6,7542998,15307451,d
chr6,16523654,20612816,e
chr6,20613099,36024423,b
chr6,36123274,37269211,h
chr6,40747893,43320173,e
chr6,45418703,46108417,b
chr6,54706692,63788032,e
chr6,63790207,80799564,d
chr6,82933682,85172113,h
chr6,88466966,88707453,b
chr6,88003772,110358613,b
chr6,111124806,111484037,g
chr6,111963034,112847932,b
chr6,112858307,148495033,a
chr6,148975937,153750605,d
chr6,154213571,155381367,f
chr6,155587939,159061388,f
chr6,159140585,169834638,g
chr6,169880156,170553943,f
chr6,170715332,170720245,d
chr7,146,4643362,e
chr7,4723845,16418898,e
chr7,18548093,19102872,f
chr7,19315985,19719054,c
chr7,19812468,23608459,d
chr7,25156482,28002080,d
chr7,28086602,31664525,g
chr7,31713066,36655965,g
chr7,36772347,58930702,b
chr7,58941539,68439763,f
chr7,69231052,71419385,c
chr7,71525822,76041321,f
chr7,76051642,85321839,d
chr7,86337740,88505586,b
chr7,88660984,100826252,g
chr7,100965911,107026572,e
chr7,108388846,111616407,d
chr7,112420469,113634639,f
chr7,114299336,130712531,a
chr7,131509494,138941805,h
chr7,139887807,150426925,e
chr7,150518669,158302975,d
chr8,410,1017233,e
chr8,1164155,8864820,b
chr8,8941196,13243445,e
chr8,13338616,13630697,c
chr8,13716583,22743905,a
chr8,23547834,24355168,d
chr8,24361750,50166531,e
chr8,50251215,55127788,e
chr8,55270428,65477404,g
chr8,66749396,69061695,b
chr8,70940921,73360243,h
chr8,74869254,81016370,g
chr8,81187961,88680093,e
chr8,88690545,108688938,f
chr8,110815664,113182112,e
chr8,113193154,115941295,b
chr8,120180377,120678964,a
chr8,120975820,126409995,d
chr8,126527195,135237297,f
chr8,135333396,140398029,e
chr8,143367871,144653185,f
chr9,1661,2231059,b
chr9,2382277,5342267,a
chr9,5560449,6780512,g
chr9,6823892,10228067,e
chr9,10359022,12517582,g
chr9,12524222,17754747,c
chr9,18122869,18997422,g
chr9,19150082,20596490,a
chr9,21087653,34145804,h
chr9,43635291,44082199,d
chr9,44095912,75189721,a
chr9,75199796,84525309,c
chr9,84679310,94668297,f
chr9,95306723,97126308,h
chr9,97260292,105054493,h
chr9,105861010,111514861,c
chr9,111526309,120170979,c
chr9,120377482,122617957,g
chr9,123433306,125207263,c
chr9,126755099,134929566,h
chr9,135331641,139219363,b
chr10,70,2122522,h
chr10,2294526,6233897,d
chr10,6378054,9783147,c
chr10,9793980,10129442,f
chr10,11020516,19334406,f
chr10,19454854,28966602,h
chr10,29058173,32391979,b
chr10,32487641,42497015,h
chr10,42596258,49990152,g
chr10,50056391,58585905,b
chr10,59883792,68430860,b
chr10,68466803,68922705,d
chr10,69559322,81645546,b
chr10,82438748,86549260,f
chr10,86647044,86656339,h
chr10,91441924,96475190,a
chr10,96583906,103995614,a
chr10,104826829,105781750,f
chr10,105834923,111005988,c
chr10,111791356,118051176,c
chr10,118336428,119467595,c
chr10,120933255,134103907,e
chr11,936,1092496,d
chr11,1137962,5462236,h
chr11,5594284,18989194,b
chr11,21184313,23699291,h
chr11,24619590,34547778,g
chr11,34632091,43365063,a
chr11,45464248,46199787,c
chr11,48149799,48949614,a
chr11,49056742,58995908,a
chr11,59060313,71977477,g
chr11,72589665,80825423,e
chr11,80837819,85279282,e
chr11,86049888,99936427,b
chr11,100210082,110606845,g
chr11,110843262,114986269,f
chr11,115027921,121830907,f
chr11,121940651,124100383,f
chr11,125601089,129130425,g
chr11,129438177,133748751,g
chr12,994,4980517,b
chr12,5086250,13898039,d
chr12,14522503,15711316,g
chr12,18509923,22199043,f
chr12,23257996,26751628,e
chr12,27843402,28390575,a
chr12,30959729,37964447,a
chr12,39105239,43959925,e
chr12,44002344,63244152,a
chr12,64331399,64909814,g
chr12,64911690,85370640,e
chr12,86517847,90413217,c
chr12,90421966,107060887,b
chr12,108959709,111099818,g
chr12,111680155,114385547,b
chr12,114809307,115007637,b
chr12,115196270,121748000,d
chr12,121878526,129226757,c
chr13,832,427376,c
chr13,4735396,12165187,f
chr13,13580214,16684119,e
chr13,16735694,18972953,a
chr13,18987032,33602439,d
chr13,33968832,35121624,f
chr13,35122156,64441638,h
chr13,65160581,68230762,e
chr13,69359340,73506818,h
chr13,74326982,74798526,h
chr13,74799071,90451418,g
chr13,92100025,93779737,f
chr13,93878302,97174667,g
chr13,97413302,114551137,b
chr14,7070,2413791,a
chr14,2529837,4998885,c
chr14,5401318,5402789,h
chr14,5598158,13516520,g
chr14,13692845,41332346,c
chr14,41675867,49013699,h
chr14,50515297,55840473,h
chr14,56221300,58451666,a
chr14,58541569,75714734,h
chr14,75715948,81186785,h
chr14,81197682,83577430,b
chr14,83578807,99163202,d
chr14,92529448,107114936,g
chr15,667,1318281,g
chr15,1329020,5847946,a
chr15,5874304,12708114,h
chr15,12841577,17492642,d
chr15,17582114,25980431,c
chr15,25981979,38440021,h
chr15,38723295,43457636,h
chr15,44189034,51259797,c
chr15,51260219,63205323,e
chr15,63206424,78494436,g
chr15,79251386,82041350,f
chr15,82042007,92931335,b
chr15,93058545,97968418,g
chr15,98892552,102026648,e
chr16,345,5637495,f
chr16,5703800,13518472,b
chr16,14629550,15850065,d
chr16,16443347,20106826,h
chr16,23715559,25669426,a
chr16,25823862,26338600,h
chr16,26414018,29178547,b
chr16,29180001,43231112,e
chr16,43328103,50871516,h
