chr,start,end,value1
chr1,5622039,9110831,0.095
chr1,5622039,9110831,-0.405
chr1,16816819,18551718,0.247
chr1,16816819,18551718,-0.253
chr1,22908603,24839868,0.077
chr1,22908603,24839868,-0.423
chr1,38101291,38796611,0.896
chr1,38101291,38796611,-0.396
chr1,40374045,43918413,0.238
chr1,40374045,43918413,-0.262
chr1,47699922,49988733,0.039
chr1,47699922,49988733,-0.461
chr1,55363446,60076207,0.267
chr1,55363446,60076207,-0.233
chr1,60213989,66921798,0.003
chr1,60213989,66921798,-0.497
chr1,69830871,69885523,0.437
chr1,69830871,69885523,-0.063
chr1,73253242,75204142,0.638
chr1,73253242,75204142,-0.138
chr1,76457272,80237883,1.014
chr1,76457272,80237883,-0.514
chr1,81416983,92294847,0.089
chr1,81416983,92294847,-0.411
chr1,102240236,102754514,0.044
chr1,102240236,102754514,-0.456
chr1,114543216,126611956,0.103
chr1,114543216,126611956,-0.397
chr1,137794358,140110029,1.198
chr1,137794358,140110029,-0.698
chr1,143544690,148231626,0.823
chr1,143544690,148231626,-0.323
chr1,152504087,152865029,0.455
chr1,152504087,152865029,-0.045
chr1,170569483,175932896,0.565
chr1,170569483,175932896,-0.0649999999999999
chr1,184406901,186541640,0.203
chr1,184406901,186541640,-0.297
chr1,192562052,195432585,0.253
chr1,192562052,195432585,-0.247
chr1,197813459,199488327,0.2
chr1,197813459,199488327,-0.3
chr1,207168466,207856038,0.185
chr1,207168466,207856038,-0.315
chr1,210231550,214413714,0.379
chr1,210231550,214413714,-0.121
chr1,218330023,225775116,0.388
chr1,218330023,225775116,-0.112
chr1,226165374,226709902,1.322
chr1,226165374,226709902,-0.822
chr1,226981573,231172434,0.358
chr1,226981573,231172434,-0.142
chr2,13669568,16275459,0.936
chr2,13669568,16275459,-0.436
chr2,23600383,35903753,1.128
chr2,23600383,35903753,-0.628
chr2,38690763,51602785,0.034
chr2,38690763,51602785,-0.466
chr2,52787638,53106494,0.189
chr2,52787638,53106494,-0.311
chr2,62473604,63853002,0.142
chr2,62473604,63853002,-0.358
chr2,63883311,68622624,0.103
chr2,63883311,68622624,-0.397
chr2,84164305,94918993,0.246
chr2,84164305,94918993,-0.254
chr2,96174898,97634683,0.768
chr2,96174898,97634683,-0.268
chr2,97774382,98810729,0.573
chr2,97774382,98810729,-0.073
chr2,119458216,124860987,0.815
chr2,119458216,124860987,-0.315
chr2,133486083,144701126,0.762
chr2,133486083,144701126,-0.262
chr2,150015500,169884441,0.368
chr2,150015500,169884441,-0.132
chr2,171650710,173748245,0.394
chr2,171650710,173748245,-0.106
chr2,175189867,176558337,0.055
chr2,175189867,176558337,-0.445
chr2,179068622,179503046,0.852
chr2,179068622,179503046,-0.352
chr2,181919389,185009703,0.13
chr2,181919389,185009703,-0.37
chr2,187178423,194548826,0.328
chr2,187178423,194548826,-0.172
chr2,195733504,196579187,0.782
chr2,195733504,196579187,-0.282
chr2,199648543,200013509,0.634
chr2,199648543,200013509,-0.134
chr2,201372598,212007510,0.631
chr2,201372598,212007510,-0.131
chr2,216395938,218679646,0.04
chr2,216395938,218679646,-0.46
chr2,224472483,224808455,0.053
chr2,224472483,224808455,-0.447
chr2,226280058,227493192,0.01
chr2,226280058,227493192,-0.49
chr2,230034200,235052204,0.739
chr2,230034200,235052204,-0.239
chr2,236943351,240910483,0.133
chr2,236943351,240910483,-0.367
chr3,4777699,8367346,0.174
chr3,4777699,8367346,-0.326
chr3,12569294,19206235,0.309
chr3,12569294,19206235,-0.191
chr3,22242421,28218437,0.045
chr3,22242421,28218437,-0.455
chr3,31597173,46117629,0.794
chr3,31597173,46117629,-0.294
chr3,47880623,48541196,0.435
chr3,47880623,48541196,-0.065
chr3,53337177,53715146,0.159
chr3,53337177,53715146,-0.341
chr3,60385837,63551224,0.077
chr3,60385837,63551224,-0.423
chr3,64565127,66426258,0.361
chr3,64565127,66426258,-0.139
chr3,68661306,69564857,0.178
chr3,68661306,69564857,-0.322
chr3,76979484,79834878,0.481
chr3,76979484,79834878,-0.019
chr3,84771269,89382584,0.926
chr3,84771269,89382584,-0.426
chr3,96130891,97846739,0.332
chr3,96130891,97846739,-0.168
chr3,99479327,103126883,0.213
chr3,99479327,103126883,-0.287
chr3,104158068,112198039,0.201
chr3,104158068,112198039,-0.299
chr3,112370587,119058671,0.426
chr3,112370587,119058671,-0.074
chr3,122867063,126407460,0.572
chr3,122867063,126407460,-0.072
chr3,133689965,138490771,0.112
chr3,133689965,138490771,-0.388
chr3,146490251,146895938,0.213
chr3,146490251,146895938,-0.287
chr3,159407360,162383107,0.193
chr3,159407360,162383107,-0.307
chr3,179906999,184919248,0.771
chr3,179906999,184919248,-0.271
chr3,193465284,195297152,0.342
chr3,193465284,195297152,-0.158
chr4,4969470,11023301,0.664
chr4,4969470,11023301,-0.164
chr4,15810431,18044300,0.054
chr4,15810431,18044300,-0.446
chr4,23752627,31933493,0.253
chr4,23752627,31933493,-0.247
chr4,41897259,42274153,0.395
chr4,41897259,42274153,-0.105
chr4,50012715,51395792,0.254
chr4,50012715,51395792,-0.246
chr4,54222052,58931449,0.616
chr4,54222052,58931449,-0.116
chr4,60841364,71110120,0.282
chr4,60841364,71110120,-0.218
chr4,82779834,83511983,0.512
chr4,82779834,83511983,-0.012
chr4,85301854,93066700,0.56
chr4,85301854,93066700,-0.0600000000000001
chr4,95647786,97523743,0.111
chr4,95647786,97523743,-0.389
chr4,98920796,101026262,0.686
chr4,98920796,101026262,-0.186
chr4,102413258,106908707,0.151
chr4,102413258,106908707,-0.349
chr4,111239952,120119320,0.085
chr4,111239952,120119320,-0.415
chr4,121361380,123251839,0.847
chr4,121361380,123251839,-0.347
chr4,125220746,139509479,0.21
chr4,125220746,139509479,-0.29
chr4,143873061,149720069,0.591
chr4,143873061,149720069,-0.091
chr4,158791476,165400447,0.239
chr4,158791476,165400447,-0.261
chr4,171124502,175620144,0.303
chr4,171124502,175620144,-0.197
chr4,176390684,177856907,0.057
chr4,176390684,177856907,-0.443
chr4,187116362,190638522,0.537
chr4,187116362,190638522,-0.037
chr5,6253192,6446117,0.229
chr5,6253192,6446117,-0.271
chr5,12010312,23800697,0.1
chr5,12010312,23800697,-0.4
chr5,24939130,26886910,0.246
chr5,24939130,26886910,-0.254
chr5,28711229,34346786,0.865
chr5,28711229,34346786,-0.365
chr5,42703550,51800850,0.2
chr5,42703550,51800850,-0.3
chr5,55512235,56268975,0.215
chr5,55512235,56268975,-0.285
chr5,59208752,64222237,0.439
chr5,59208752,64222237,-0.061
chr5,71806137,72743577,0.146
chr5,71806137,72743577,-0.354
chr5,73145096,74099719,0.385
chr5,73145096,74099719,-0.115
chr5,82826400,91040068,0.527
chr5,82826400,91040068,-0.027
chr5,94316286,97138112,0.324
chr5,94316286,97138112,-0.176
chr5,103442383,112944012,0.593
chr5,103442383,112944012,-0.093
chr5,113517342,116953300,0.023
chr5,113517342,116953300,-0.477
chr5,124410305,127670668,0.687
chr5,124410305,127670668,-0.187
chr5,132356930,137525309,0.269
chr5,132356930,137525309,-0.231
chr5,144228031,153487398,0.083
chr5,144228031,153487398,-0.417
chr5,154267066,157655564,0.418
chr5,154267066,157655564,-0.082
chr5,165299530,166352138,0.469
chr5,165299530,166352138,-0.031
chr5,171828641,175837854,0.524
chr5,171828641,175837854,-0.024
chr6,1687733,5295848,0.05
chr6,1687733,5295848,-0.45
chr6,12091854,20663531,0.197
chr6,12091854,20663531,-0.303
chr6,21974123,22810333,0.788
chr6,21974123,22810333,-0.288
chr6,26326468,30822215,0.364
chr6,26326468,30822215,-0.136
chr6,33853638,38643980,0.853
chr6,33853638,38643980,-0.353
chr6,39395396,41787437,0.14
chr6,39395396,41787437,-0.36
chr6,53467493,57162634,0.187
chr6,53467493,57162634,-0.313
chr6,58772849,71197036,0.031
chr6,58772849,71197036,-0.469
chr6,75457368,79107591,0.531
chr6,75457368,79107591,-0.031
chr6,88402487,94675178,0.145
chr6,88402487,94675178,-0.355
chr6,95586310,98665679,0.313
chr6,95586310,98665679,-0.187
chr6,100079224,118914812,0.276
chr6,100079224,118914812,-0.224
chr6,119031055,123307706,0
chr6,119031055,123307706,-0.5
chr6,126889252,135252271,0.264
chr6,126889252,135252271,-0.236
chr6,135419882,138250875,0.43
chr6,135419882,138250875,-0.07
chr6,139670053,140314629,0.709
chr6,139670053,140314629,-0.209
chr6,144082891,150400840,0.102
chr6,144082891,150400840,-0.398
chr6,150924909,152583920,0.163
chr6,150924909,152583920,-0.337
chr7,5238889,6479683,0.526
chr7,5238889,6479683,-0.026
chr7,6840720,7713889,0.619
chr7,6840720,7713889,-0.119
chr7,10649990,12008824,0.156
chr7,10649990,12008824,-0.344
chr7,19277617,24418581,0.751
chr7,19277617,24418581,-0.251
chr7,31321654,37619029,0.276
chr7,31321654,37619029,-0.224
chr7,38624388,51588252,0.326
chr7,38624388,51588252,-0.174
chr7,52164831,60019123,0.018
chr7,52164831,60019123,-0.482
chr7,66211206,69571735,0.417
chr7,66211206,69571735,-0.083
chr7,71152519,75370308,0.29
chr7,71152519,75370308,-0.21
chr7,76133185,83831294,0.534
chr7,76133185,83831294,-0.034
chr7,83987122,86454636,0.619
chr7,83987122,86454636,-0.119
chr7,92231497,97544651,0.001
chr7,92231497,97544651,-0.499
chr7,100785280,102686034,0.022
chr7,100785280,102686034,-0.478
chr7,122873025,131683132,0.545
chr7,122873025,131683132,-0.045
chr7,136706794,137001108,0.416
chr7,136706794,137001108,-0.084
chr7,142476263,146251084,0.082
chr7,142476263,146251084,-0.418
chr7,151096412,155787406,0.124
chr7,151096412,155787406,-0.376
chr8,2085091,2161948,0.049
chr8,2085091,2161948,-0.451
chr8,2599499,6711296,0.642
chr8,2599499,6711296,-0.142
chr8,10184660,16030136,0.334
chr8,10184660,16030136,-0.166
chr8,18065545,21913842,0.509
chr8,18065545,21913842,-0.00900000000000001
chr8,22404366,27916383,0.342
chr8,22404366,27916383,-0.158
chr8,33031137,35280865,0.346
chr8,33031137,35280865,-0.154
chr8,48319525,49708124,0.563
chr8,48319525,49708124,-0.0629999999999999
chr8,51945578,53758012,0.158
chr8,51945578,53758012,-0.342
chr8,60829393,63201536,0.478
chr8,60829393,63201536,-0.022
chr8,63221007,78956811,0.751
chr8,63221007,78956811,-0.251
chr8,80958421,92559262,0.204
chr8,80958421,92559262,-0.296
chr8,101390655,103881487,0.03
chr8,101390655,103881487,-0.47
chr8,113579851,120830039,0.733
chr8,113579851,120830039,-0.233
chr8,129016212,131169698,0.283
chr8,129016212,131169698,-0.217
chr8,133669333,134011101,0.352
chr8,133669333,134011101,-0.148
chr9,14304710,15371772,0.147
chr9,14304710,15371772,-0.353
chr9,16403622,17682163,0.609
chr9,16403622,17682163,-0.109
chr9,18038598,21882704,0.604
chr9,18038598,21882704,-0.104
chr9,22281411,22880149,1.523
chr9,22281411,22880149,-1.023
chr9,23226282,23911833,0.483
chr9,23226282,23911833,-0.017
chr9,28083886,32706714,0.562
chr9,28083886,32706714,-0.0620000000000001
chr9,37283556,59262609,0.737
chr9,37283556,59262609,-0.237
chr9,60025093,61347647,0.783
chr9,60025093,61347647,-0.283
chr9,82214944,83312370,0.25
chr9,82214944,83312370,-0.25
chr9,90517029,91575969,0.046
chr9,90517029,91575969,-0.454
chr9,95158118,104283974,0.129
chr9,95158118,104283974,-0.371
chr9,106235115,109348058,0.255
chr9,106235115,109348058,-0.245
chr9,111585086,114007907,0.38
chr9,111585086,114007907,-0.12
chr9,115859843,120021726,0.059
chr9,115859843,120021726,-0.441
chr9,132541570,133235434,0.075
chr9,132541570,133235434,-0.425
chr10,3173278,7633304,0.407
chr10,3173278,7633304,-0.093
chr10,8208492,24332032,0.005
chr10,8208492,24332032,-0.495
chr10,26730416,39567979,0
chr10,26730416,39567979,-0.5
chr10,41645528,42054182,0.168
chr10,41645528,42054182,-0.332
chr10,42669648,43186956,0.246
chr10,42669648,43186956,-0.254
chr10,48055976,48649524,0.742
chr10,48055976,48649524,-0.242
chr10,48677348,55601607,0.746
chr10,48677348,55601607,-0.246
chr10,61839845,62134932,0.24
chr10,61839845,62134932,-0.26
chr10,64286667,70749317,0.39
chr10,64286667,70749317,-0.11
chr10,85214859,88682018,0.689
chr10,85214859,88682018,-0.189
chr10,98072440,99495933,0.282
chr10,98072440,99495933,-0.218
chr10,103969097,107255099,0.068
chr10,103969097,107255099,-0.432
chr10,110040375,110272238,0.099
chr10,110040375,110272238,-0.401
chr10,112217698,132530231,1.355
chr10,112217698,132530231,-0.855
chr11,5157877,7206094,0.038
chr11,5157877,7206094,-0.462
chr11,11291661,16236380,0.101
chr11,11291661,16236380,-0.399
chr11,18440292,23831380,0.078
chr11,18440292,23831380,-0.422
chr11,27237203,37436084,0.151
chr11,27237203,37436084,-0.349
chr11,41261452,45649778,0.332
chr11,41261452,45649778,-0.168
chr11,49659572,51534004,0.733
chr11,49659572,51534004,-0.233
chr11,62942055,66687331,1.04
chr11,62942055,66687331,-0.54
chr11,73028379,77153663,0.704
chr11,73028379,77153663,-0.204
chr11,87771058,97613456,0.148
chr11,87771058,97613456,-0.352
chr11,101039153,103407174,0.337
chr11,101039153,103407174,-0.163
chr11,103637722,110658492,0.501
chr11,103637722,110658492,-0.001
chr11,113921381,115584186,0.141
chr11,113921381,115584186,-0.359
chr11,118409461,129108572,0.456
chr11,118409461,129108572,-0.044
chr11,132323191,134074284,0.468
chr11,132323191,134074284,-0.032
chr12,894341,3273263,0.553
chr12,894341,3273263,-0.053
chr12,7440257,8098160,0.266
chr12,7440257,8098160,-0.234
chr12,14448178,17872187,1.204
chr12,14448178,17872187,-0.704
chr12,20979759,25787432,0.475
chr12,20979759,25787432,-0.025
chr12,26840552,29093593,0.149
chr12,26840552,29093593,-0.351
chr12,49341449,65960748,0.047
chr12,49341449,65960748,-0.453
chr12,67487136,72669625,0.182
chr12,67487136,72669625,-0.318
chr12,79726206,80892762,0.714
chr12,79726206,80892762,-0.214
chr12,82251329,84541257,0.281
chr12,82251329,84541257,-0.219
chr12,89265210,92580792,0.551
chr12,89265210,92580792,-0.051
chr12,97839191,98477513,0.67
chr12,97839191,98477513,-0.17
chr12,109016044,109568464,0.347
chr12,109016044,109568464,-0.153
chr12,110743995,114885345,0.839
chr12,110743995,114885345,-0.339
chr12,125299287,126568147,0.683
chr12,125299287,126568147,-0.183
chr13,2457116,2686441,0.777
chr13,2457116,2686441,-0.277
chr13,4891372,8257853,0.593
chr13,4891372,8257853,-0.093
chr13,14828609,17974530,0.139
chr13,14828609,17974530,-0.361
chr13,26782268,32922986,0.284
chr13,26782268,32922986,-0.216
chr13,36122736,41347928,0.002
chr13,36122736,41347928,-0.498
chr13,41510340,45551146,0.149
chr13,41510340,45551146,-0.351
chr13,53663027,56139523,0.371
chr13,53663027,56139523,-0.129
chr13,65964157,66002089,0.589
chr13,65964157,66002089,-0.089
chr13,66400279,69723554,0.253
chr13,66400279,69723554,-0.247
chr13,76182243,83509096,0.344
chr13,76182243,83509096,-0.156
chr13,84538346,86037682,0.137
chr13,84538346,86037682,-0.363
chr13,91448121,109531262,0.407
chr13,91448121,109531262,-0.093
chr14,5185116,13515139,0.597
chr14,5185116,13515139,-0.097
chr14,22476448,29625041,0.072
chr14,22476448,29625041,-0.428
chr14,30572127,32893561,0.073
chr14,30572127,32893561,-0.427
chr14,44609816,50519252,0.511
chr14,44609816,50519252,-0.011
chr14,57729090,64051541,0.581
chr14,57729090,64051541,-0.081
chr14,71595055,76574410,0.358
chr14,71595055,76574410,-0.142
chr14,78183197,78466419,0.794
chr14,78183197,78466419,-0.294
chr14,79895419,80468624,0.928
chr14,79895419,80468624,-0.428
chr14,81465894,86090983,0.045
chr14,81465894,86090983,-0.455
chr14,86232163,92548164,0.151
chr14,86232163,92548164,-0.349
chr14,98816257,104123490,0.205
chr14,98816257,104123490,-0.295
chr15,828666,3060756,0.661
chr15,828666,3060756,-0.161
chr15,4528352,7133036,0.059
chr15,4528352,7133036,-0.441
chr15,10013889,11672148,0.168
chr15,10013889,11672148,-0.332
chr15,13377203,16168188,0.211
chr15,13377203,16168188,-0.289
chr15,29145230,40726130,0.222
chr15,29145230,40726130,-0.278
chr15,42235576,48275388,0.372
chr15,42235576,48275388,-0.128
chr15,49070819,53580609,0.632
chr15,49070819,53580609,-0.132
chr15,55505588,70271493,0.215
chr15,55505588,70271493,-0.285
chr15,77850829,78795307,0.239
chr15,77850829,78795307,-0.261
chr15,80217286,87480701,0.383
chr15,80217286,87480701,-0.117
chr15,90915157,98732148,0.453
chr15,90915157,98732148,-0.047
chr16,5659739,22084502,0.059
chr16,5659739,22084502,-0.441
chr16,23338302,24759741,0.099
chr16,23338302,24759741,-0.401
chr16,32461077,32742764,0.382
chr16,32461077,32742764,-0.118
chr16,37478891,39919727,0.031
chr16,37478891,39919727,-0.469
chr16,49474792,49835796,0.216
chr16,49474792,49835796,-0.284
chr16,53606634,57679388,0.023
chr16,53606634,57679388,-0.477
chr16,58255433,59006903,0.207
chr16,58255433,59006903,-0.293
chr16,59533274,65400249,0.587
chr16,59533274,65400249,-0.087
chr16,66290466,71800035,0.464
chr16,66290466,71800035,-0.036
chr16,79040659,86736464,1.292
chr16,79040659,86736464,-0.792
chr17,12422263,20886597,0.525
chr17,12422263,20886597,-0.025
chr17,35355662,37318139,0.347
chr17,35355662,37318139,-0.153
chr17,40892786,41301410,0.605
chr17,40892786,41301410,-0.105
chr17,44730072,47561151,0.601
chr17,44730072,47561151,-0.101
chr17,47613357,49678103,0.147
chr17,47613357,49678103,-0.353
chr17,55250767,57826756,1.015
chr17,55250767,57826756,-0.515
chr17,58720824,59882450,0.487
chr17,58720824,59882450,-0.013
chr17,64015955,66341488,0.027
chr17,64015955,66341488,-0.473
chr17,70279357,79975798,0.169
chr17,70279357,79975798,-0.331
